,time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
56417, 2000-05-14T04:11:16.500Z, 27.573, 139.717, 477.4, 5.2, mwc, , , , 0.79, us, usp0009sx4, 2016-11-09T22:31:00.280Z, Bonin Islands, Japan region, earthquake, , , , , reviewed, us, hrv
56458, 2000-05-02T05:25:04.690Z, 40.276, 143.269, 33.0, 5.0, mb, , , , 1.08, us, usp0009s70, 2014-11-07T01:10:01.004Z, 133 km ENE of Miyako, Japan, earthquake, , , , 57.0, reviewed, us, us
56461, 2000-05-01T21:05:38.350Z, 40.244, 143.288, 33.0, 5.0, mb, , , , 0.91, us, usp0009s6c, 2014-11-07T01:10:00.808Z, 132 km ENE of Miyako, Japan, earthquake, , , , 64.0, reviewed, us, us
56462, 2000-05-01T20:45:12.840Z, 40.274, 143.245, 33.0, 5.2, mwc, , , , 0.98, us, usp0009s6b, 2016-11-09T22:25:22.283Z, 131 km ENE of Miyako, Japan, earthquake, , , , , reviewed, us, hrv
56464, 2000-06-29T09:53:28.100Z, 34.324, 140.221, 10.0, 5.0, mb, 118.0, , , 1.05, us, usp0009vdc, 2014-11-07T01:10:26.045Z, 80 km SSE of Tateyama, Japan, earthquake, , , , 61.0, reviewed, us, us
56467, 2000-06-29T06:30:22.090Z, 34.027, 139.359, 10.0, 5.6, mwc, 201.0, , , 1.31, us, usp0009vcx, 2022-04-29T18:43:10.334Z, 81 km SSE of Shimoda, Japan, earthquake, , , , , reviewed, us, hrv
56468, 2000-06-29T05:54:55.400Z, 34.151, 139.422, 10.0, 5.1, mwc, 61.0, , , 1.39, us, usp0009vcu, 2022-04-29T18:43:09.104Z, 72 km SE of Shimoda, Japan, earthquake, , , , , reviewed, us, hrv
56469, 2000-06-29T04:53:26.310Z, 34.082, 139.333, 10.0, 5.3, mwc, 96.0, , , 0.98, us, usp0009vcq, 2022-04-29T18:43:02.975Z, 75 km SSE of Shimoda, Japan, earthquake, , , , , reviewed, us, hrv
56470, 2000-06-29T04:02:36.920Z, 34.056, 139.561, 10.0, 5.5, mwc, 169.0, , , 1.14, us, usp0009vck, 2022-04-29T18:43:02.066Z, 89 km SE of Shimoda, Japan, earthquake, , , , , reviewed, us, hrv
56471, 2000-06-29T03:34:26.260Z, 34.244, 139.141, 10.0, 5.1, mb, 141.0, , , 0.78, us, usp0009vce, 2014-11-07T01:10:25.865Z, 51 km SSE of Shimoda, Japan, earthquake, , , , 62.0, reviewed, us, us
56472, 2000-06-29T03:11:51.430Z, 34.155, 139.18, 10.0, 5.3, mb, 202.0, , , 1.03, us, usp0009vcb, 2014-11-07T01:10:25.836Z, 61 km SSE of Shimoda, Japan, earthquake, , , , 93.0, reviewed, us, us
56473, 2000-06-29T02:56:20.960Z, 34.19, 139.136, 10.0, 5.3, mwc, 146.0, , , 0.81, us, usp0009vc9, 2022-04-29T18:42:56.761Z, 56 km SSE of Shimoda, Japan, earthquake, , , , , reviewed, us, hrv
56475, 2000-06-28T16:15:17.960Z, 34.014, 139.319, 10.0, 5.2, mwc, 84.0, , , 1.13, us, usp0009van, 2022-04-29T18:42:55.053Z, 81 km SSE of Shimoda, Japan, earthquake, , , , , reviewed, us, hrv
56476, 2000-06-28T09:25:47.890Z, 34.217, 139.506, 10.0, 5.3, mwc, 103.0, , , 1.34, us, usp0009v9u, 2022-04-29T18:42:53.475Z, 72 km SE of Shimoda, Japan, earthquake, , , , , reviewed, us, hrv
56482, 2000-06-25T06:34:42.880Z, 31.183, 131.206, 10.0, 6.0, mwc, 282.0, , , 1.0, us, usp0009v37, 2022-04-29T18:42:46.030Z, 33 km S of Kushima, Japan, earthquake, , , , , reviewed, us, hrv
56519, 2000-06-15T11:10:46.210Z, 29.368, 132.082, 10.0, 6.1, mwc, 382.0, , , 0.8, us, usp0009un5, 2022-04-29T18:41:28.504Z, 177 km ESE of Koshima, Japan, earthquake, , , , , reviewed, us, hrv
56547, 2000-06-09T23:31:45.290Z, 30.491, 137.73, 485.3, 6.3, mwb, 473.0, , , 0.89, us, usp0009ub9, 2022-04-29T18:40:32.435Z, Izu Islands, Japan region, earthquake, , , , , reviewed, us, us
56548, 2000-06-09T22:35:13.780Z, 30.472, 137.682, 472.6, 5.8, mwc, 400.0, , , 0.86, us, usp0009ub5, 2022-04-29T18:40:31.103Z, Izu Islands, Japan region, earthquake, , , , , reviewed, us, hrv
56570, 2000-06-08T00:32:46.500Z, 32.679, 130.682, 21.5, 5.0, mb, 75.0, , , 0.84, us, usp0009u73, 2014-11-07T01:10:20.101Z, 1 km ESE of Uto, Japan, earthquake, , 6.7, , 35.0, reviewed, us, us
56577, 2000-06-06T21:16:42.400Z, 36.829, 135.464, 10.0, 5.9, mwc, 394.0, , , 0.87, us, usp0009u50, 2022-04-29T18:40:13.355Z, Sea of Japan, earthquake, , , , , reviewed, us, hrv
56578, 2000-06-06T14:57:02.220Z, 29.424, 131.421, 33.0, 6.4, mwc, 389.0, , , 0.97, us, usp0009u4g, 2022-04-29T18:40:07.351Z, 124 km SE of Koshima, Japan, earthquake, , , , , reviewed, us, hrv
56616, 2000-06-03T08:54:49.200Z, 35.552, 140.464, 62.3, 6.2, mwc, 412.0, , , 0.89, us, usp0009tvj, 2022-04-29T18:39:21.764Z, 6 km SE of Narut?, Japan, earthquake, , 5.4, , , reviewed, us, hrv
56622, 2000-07-30T13:16:08.540Z, 34.119, 139.247, 10.0, 5.0, mb, 124.0, , , 0.8, us, usp0009xf9, 2014-11-07T01:10:42.628Z, 67 km SSE of Shimoda, Japan, earthquake, , , , 47.0, reviewed, us, us
56623, 2000-07-30T12:48:55.480Z, 33.954, 139.27, 10.0, 5.5, mb, 218.0, , , 0.92, us, usp0009xf5, 2022-04-29T18:46:57.406Z, 85 km SSE of Shimoda, Japan, earthquake, , , , 81.0, reviewed, us, us
56624, 2000-07-30T12:25:45.570Z, 33.901, 139.376, 10.0, 6.5, mwc, 428.0, , , 0.94, us, usp0009xf4, 2022-04-29T18:46:51.810Z, 94 km SSE of Shimoda, Japan, earthquake, , , , , reviewed, us, hrv
56627, 2000-07-30T00:18:00.190Z, 33.933, 139.35, 10.0, 5.7, mwc, 281.0, , , 0.98, us, usp0009xe8, 2022-04-29T18:46:44.388Z, 90 km SSE of Shimoda, Japan, earthquake, , , , , reviewed, us, hrv
56631, 2000-07-28T13:32:43.230Z, 34.104, 139.25, 10.0, 5.4, mwc, 75.0, , , 1.19, us, usp0009xax, 2022-04-29T18:46:41.108Z, 69 km SSE of Shimoda, Japan, earthquake, , , , , reviewed, us, hrv
56632, 2000-07-28T13:05:58.740Z, 34.183, 139.446, 10.0, 5.2, ms, 98.0, , , 1.14, us, usp0009xaw, 2014-11-07T01:10:41.289Z, 71 km SE of Shimoda, Japan, earthquake, , , , 2.0, reviewed, us, us
56642, 2000-07-27T02:12:50.080Z, 34.204, 139.248, 10.0, 5.5, mwc, 178.0, , , 0.93, us, usp0009x8e, 2022-04-29T18:46:12.578Z, 59 km SSE of Shimoda, Japan, earthquake, , , , , reviewed, us, hrv
56643, 2000-07-27T01:49:53.330Z, 34.208, 139.37, 10.0, 5.6, mwc, 235.0, , , 1.05, us, usp0009x8d, 2022-04-29T18:46:07.195Z, 65 km SE of Shimoda, Japan, earthquake, , , , , reviewed, us, hrv
56644, 2000-07-26T10:09:50.290Z, 34.116, 139.187, 10.0, 5.2, mwc, 131.0, , , 0.87, us, usp0009x6y, 2022-04-29T18:46:01.725Z, 66 km SSE of Shimoda, Japan, earthquake, , , , , reviewed, us, hrv
56646, 2000-07-25T18:36:44.680Z, 34.088, 139.31, 10.0, 5.2, mwc, 178.0, , , 1.31, us, usp0009x5u, 2022-04-29T18:46:00.387Z, 73 km SSE of Shimoda, Japan, earthquake, , , , , reviewed, us, hrv
56647, 2000-07-25T08:10:15.890Z, 34.182, 139.338, 10.0, 5.0, mb, 118.0, , , 1.11, us, usp0009x4z, 2014-11-07T01:10:39.954Z, 65 km SSE of Shimoda, Japan, earthquake, , , , 63.0, reviewed, us, us
56648, 2000-07-25T07:12:50.480Z, 34.218, 139.277, 10.0, 5.1, mwc, 124.0, , , 1.08, us, usp0009x4w, 2022-04-29T18:45:54.768Z, 59 km SSE of Shimoda, Japan, earthquake, , , , , reviewed, us, hrv
56650, 2000-07-24T22:10:35.340Z, 24.771, 122.478, 127.7, 5.0, mwc, 122.0, , , 1.09, us, usp0009x4b, 2016-11-09T23:03:27.285Z, 62 km WNW of Yonakuni, Japan, earthquake, , , , , reviewed, us, hrv
56654, 2000-07-24T09:03:54.710Z, 34.119, 139.327, 10.0, 5.1, mb, 108.0, , , 1.18, us, usp0009x35, 2014-11-07T01:10:39.758Z, 71 km SSE of Shimoda, Japan, earthquake, , , , 57.0, reviewed, us, us
56655, 2000-07-23T21:52:44.060Z, 34.126, 139.116, 10.0, 5.6, mwc, 299.0, , , 0.75, us, usp0009x1y, 2022-04-29T18:45:49.586Z, 63 km SSE of Shimoda, Japan, earthquake, , , , , reviewed, us, hrv
56656, 2000-07-23T21:26:47.800Z, 34.185, 139.261, 10.0, 5.3, mwc, 220.0, , , 0.92, us, usp0009x1t, 2022-04-29T18:45:48.216Z, 61 km SSE of Shimoda, Japan, earthquake, , , , , reviewed, us, hrv
56657, 2000-07-23T17:13:33.530Z, 34.079, 139.183, 10.0, 5.1, mwc, 149.0, , , 0.75, us, usp0009x0y, 2022-04-29T18:45:46.811Z, 69 km SSE of Shimoda, Japan, earthquake, , , , , reviewed, us, hrv
56659, 2000-07-23T03:15:08.340Z, 34.23, 139.247, 10.0, 5.3, mwc, 119.0, , , 0.97, us, usp0009wzv, 2022-04-29T18:45:45.512Z, 56 km SSE of Shimoda, Japan, earthquake, , , , , reviewed, us, hrv
56666, 2000-07-21T05:16:37.640Z, 35.181, 141.066, 52.4, 5.7, mwc, 333.0, , , 0.78, us, usp0009wwn, 2022-04-29T18:45:40.054Z, 61 km E of ?hara, Japan, earthquake, , , , , reviewed, us, hrv
56669, 2000-07-20T18:39:18.820Z, 36.51, 140.983, 47.1, 6.0, mwc, 480.0, , , 0.68, us, usp0009wvy, 2022-04-29T18:45:36.968Z, 31 km ESE of Hitachi, Japan, earthquake, , , , , reviewed, us, hrv
56670, 2000-07-20T03:10:25.440Z, 34.031, 139.269, 10.0, 5.3, mwc, 97.0, , , 1.24, us, usp0009wub, 2022-04-29T18:45:35.514Z, 77 km SSE of Shimoda, Japan, earthquake, , , , , reviewed, us, hrv
56671, 2000-07-20T03:07:03.510Z, 34.008, 138.986, 10.0, 5.1, ms, 65.0, , , 1.14, us, usp0009wua, 2014-11-07T01:10:38.532Z, 74 km S of Shimoda, Japan, earthquake, , , , 2.0, reviewed, us, us
56673, 2000-07-19T21:18:19.720Z, 34.11, 139.254, 10.0, 5.4, mwc, 165.0, , , 0.88, us, usp0009wta, 2022-04-29T18:45:33.869Z, 68 km SSE of Shimoda, Japan, earthquake, , , , , reviewed, us, hrv
56674, 2000-07-19T17:32:19.940Z, 34.174, 139.129, 10.0, 5.2, mb, 114.0, , , 0.93, us, usp0009wt0, 2014-11-07T01:10:38.180Z, 58 km SSE of Shimoda, Japan, earthquake, , , , 40.0, reviewed, us, us
56675, 2000-07-19T17:18:29.030Z, 38.812, 143.065, 33.0, 5.4, mwc, 192.0, , , 0.78, us, usp0009wsz, 2016-11-09T23:01:12.417Z, 115 km ESE of Kamaishi, Japan, earthquake, , , , , reviewed, us, hrv
56677, 2000-07-19T11:00:39.490Z, 34.242, 139.132, 10.0, 5.0, mb, 84.0, , , 0.67, us, usp0009ws9, 2014-11-07T01:10:38.095Z, 51 km SSE of Shimoda, Japan, earthquake, , , , 33.0, reviewed, us, us
56682, 2000-07-17T12:58:09.400Z, 28.579, 142.669, 10.0, 5.4, mwc, 87.0, , , 0.96, us, usp0009wp1, 2016-11-09T23:00:12.467Z, Bonin Islands, Japan region, earthquake, , , , , reviewed, us, hrv
56696, 2000-07-15T01:30:30.500Z, 34.319, 139.26, 10.0, 6.1, mwc, 275.0, , , 0.88, us, usp0009whz, 2022-04-29T18:44:54.110Z, near the south coast of Honshu, Japan, earthquake, , , , , reviewed, us, hrv
56698, 2000-07-14T18:28:23.250Z, 34.124, 139.223, 10.0, 5.4, mwc, 175.0, , , 1.01, us, usp0009wgj, 2022-04-29T19:45:53.120Z, 66 km SSE of Shimoda, Japan, earthquake, , , , , reviewed, us, hrv
56699, 2000-07-14T10:19:28.790Z, 34.147, 139.1, 10.0, 5.4, mwc, 142.0, , , 1.15, us, usp0009wfy, 2022-04-29T18:44:46.525Z, 60 km SSE of Shimoda, Japan, earthquake, , , , , reviewed, us, hrv
56702, 2000-07-13T18:55:52.490Z, 34.045, 139.246, 10.0, 5.2, mwc, 119.0, , , 1.17, us, usp0009weh, 2022-04-29T18:44:39.692Z, 75 km SSE of Shimoda, Japan, earthquake, , , , , reviewed, us, hrv
