,time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
60588, 2003-07-27T19:08:03.630Z, 38.543, 141.025, 10.0, 5.1, mwc, 153.0, 122.3, , 0.8, us, usp000c3hc, 2022-05-02T16:39:58.188Z, 2 km WSW of Kogota, Japan, earthquake, , , , , reviewed, us, hrv
60599, 2003-07-26T07:56:43.470Z, 38.484, 141.002, 10.0, 5.3, mwc, 277.0, 101.6, , 0.79, us, usp000c3d6, 2022-05-02T16:39:30.957Z, 8 km SSW of Kogota, Japan, earthquake, , , , , reviewed, us, hrv
60601, 2003-07-26T01:22:22.900Z, 38.509, 141.055, 10.0, 5.1, mb, 210.0, 113.0, , 0.87, us, usp000c3ca, 2014-11-07T01:19:17.919Z, 4 km S of Kogota, Japan, earthquake, , , , 99.0, reviewed, us, us
60604, 2003-07-25T22:13:29.970Z, 38.415, 140.996, 6.0, 6.1, mwc, 554.0, 30.5, , 0.79, us, usp000c3bu, 2022-05-02T16:39:29.813Z, 7 km NW of Matsushima, Japan, earthquake, , , , , reviewed, us, hrv
60608, 2003-07-25T15:13:07.720Z, 38.432, 141.003, 10.0, 5.5, mwc, 312.0, 64.1, , 1.05, us, usp000c3ay, 2022-05-02T16:39:27.548Z, 8 km NW of Matsushima, Japan, earthquake, , , , , reviewed, us, hrv
60609, 2003-07-25T11:53:11.850Z, 31.278, 138.355, 372.4, 5.1, mb, 205.0, 96.8, , 0.82, us, usp000c3ah, 2014-11-07T01:19:17.579Z, Izu Islands, Japan region, earthquake, , , , 82.0, reviewed, us, us
60668, 2003-07-09T17:15:14.640Z, 29.736, 129.968, 67.4, 5.5, mwb, 224.0, 81.1, , 0.97, us, usp000c22u, 2016-11-09T22:56:43.697Z, 73 km SW of Kurio, Japan, earthquake, , , , , reviewed, us, us
60673, 2003-07-08T04:30:49.600Z, 42.416, 144.986, 33.0, 5.4, mwc, 402.0, 119.9, , 0.69, us, usp000c1yv, 2016-11-09T22:56:14.902Z, 79 km SE of Kushiro, Japan, earthquake, , , , , reviewed, us, hrv
60687, 2003-07-05T23:30:25.440Z, 32.63, 135.977, 33.0, 5.1, mwc, 151.0, 103.0, , 0.84, us, usp000c1rj, 2016-11-09T22:54:55.951Z, 122 km S of Shing?, Japan, earthquake, , , , , reviewed, us, hrv
60698, 2003-07-02T23:52:26.280Z, 42.323, 144.842, 23.9, 5.9, mwc, 527.0, 96.1, , 0.77, us, usp000c1gx, 2022-05-02T16:38:14.861Z, Hokkaido, Japan region, earthquake, , , , , reviewed, us, hrv
60704, 2003-08-30T10:06:39.970Z, 41.864, 142.552, 51.9, 5.5, mwb, 320.0, 104.7, , 0.79, us, usp000c69a, 2022-05-02T16:42:11.349Z, 54 km SSE of Shizunai-furukawach?, Japan, earthquake, , , , , reviewed, us, us
60765, 2003-08-19T04:26:55.480Z, 29.124, 129.339, 33.0, 5.1, mwc, 121.0, 97.9, , 0.92, us, usp000c5ba, 2022-05-02T16:41:19.980Z, 85 km N of Naze, Japan, earthquake, , , , , reviewed, us, hrv
60767, 2003-08-18T09:59:40.120Z, 35.63, 139.968, 79.9, 5.0, mwc, 124.0, 113.1, , 0.79, us, usp000c58u, 2016-11-09T23:16:25.254Z, 8 km SSW of Honch?, Japan, earthquake, , 5.5, , , reviewed, us, hrv
60829, 2003-08-01T13:46:47.880Z, 32.774, 141.116, 77.5, 5.1, mwc, 246.0, 41.5, , 0.77, us, usp000c3uv, 2016-11-09T23:07:14.133Z, 270 km SSE of Tateyama, Japan, earthquake, , , , , reviewed, us, hrv
60831, 2003-09-29T23:24:25.390Z, 41.948, 144.66, 33.0, 5.0, mb, 156.0, 132.3, , 0.84, us, usp000c93e, 2014-11-07T01:19:59.791Z, 116 km SSE of Kushiro, Japan, earthquake, , , , 83.0, reviewed, us, us
60833, 2003-09-29T22:09:18.340Z, 41.388, 144.185, 33.0, 5.3, mwc, 395.0, 118.9, , 0.89, us, usp000c939, 2016-11-09T23:35:56.026Z, 176 km S of Kushiro, Japan, earthquake, , , , , reviewed, us, hrv
60835, 2003-09-29T21:22:11.700Z, 41.4, 144.151, 33.0, 5.6, mwc, 446.0, 95.6, , 0.81, us, usp000c934, 2022-05-02T16:45:00.620Z, 175 km S of Kushiro, Japan, earthquake, , , , , reviewed, us, hrv
60839, 2003-09-29T14:22:14.540Z, 42.045, 144.367, 33.0, 5.5, mwc, 332.0, 120.4, , 0.96, us, usp000c929, 2016-11-09T23:35:53.467Z, 103 km S of Kushiro, Japan, earthquake, , , , , reviewed, us, hrv
60840, 2003-09-29T07:49:56.890Z, 42.391, 143.937, 33.0, 5.4, mwb, 339.0, 78.5, , 0.81, us, usp000c91f, 2022-05-02T16:44:39.817Z, 74 km SSW of Kushiro, Japan, earthquake, , , , , reviewed, us, us
60842, 2003-09-29T02:36:53.140Z, 42.45, 144.38, 25.0, 6.5, mwc, 586.0, 71.3, , 0.79, us, usp000c90r, 2022-05-02T16:44:38.644Z, 58 km S of Kushiro, Japan, earthquake, , , , , reviewed, us, hrv
60843, 2003-09-28T21:29:43.210Z, 42.1, 144.712, 33.8, 5.1, mwc, 194.0, 119.8, , 0.86, us, usp000c906, 2016-11-09T23:35:32.240Z, 101 km SSE of Kushiro, Japan, earthquake, , , , , reviewed, us, hrv
60845, 2003-09-28T16:50:57.790Z, 41.885, 145.165, 30.4, 5.4, mwc, 303.0, 63.7, , 0.81, us, usp000c8zd, 2016-11-09T23:35:31.215Z, 137 km SSE of Kushiro, Japan, earthquake, , , , , reviewed, us, hrv
60846, 2003-09-28T04:17:54.050Z, 42.62, 144.716, 33.0, 5.6, mwc, 400.0, 120.0, , 0.68, us, usp000c8xd, 2022-05-02T16:44:36.322Z, 48 km SE of Kushiro, Japan, earthquake, , , , , reviewed, us, hrv
60848, 2003-09-28T00:23:06.890Z, 42.247, 143.269, 33.0, 5.2, mwc, 255.0, 116.1, , 0.8, us, usp000c8w7, 2022-05-02T16:44:35.241Z, 74 km S of Obihiro, Japan, earthquake, , , , , reviewed, us, hrv
60850, 2003-09-27T23:04:39.430Z, 42.127, 144.564, 33.0, 5.0, mb, 211.0, 121.1, , 0.88, us, usp000c8vn, 2014-11-07T01:19:58.635Z, 95 km S of Kushiro, Japan, earthquake, , , , 85.0, reviewed, us, us
60851, 2003-09-27T22:23:19.850Z, 42.242, 142.847, 33.0, 5.3, mb, 376.0, 122.0, , 0.83, us, usp000c8vf, 2014-11-07T01:19:58.598Z, 40 km ESE of Shizunai-furukawach?, Japan, earthquake, , , , 134.0, reviewed, us, us
60852, 2003-09-27T22:12:01.240Z, 28.827, 128.393, 10.0, 5.7, mwc, 168.0, 93.2, , 1.39, us, usp000c8ve, 2022-05-02T16:44:32.961Z, 118 km WNW of Naze, Japan, earthquake, , , , , reviewed, us, hrv
60855, 2003-09-27T16:07:38.950Z, 42.235, 144.367, 33.0, 5.0, mb, 233.0, 118.8, , 0.82, us, usp000c8u2, 2014-11-07T01:19:58.265Z, 82 km S of Kushiro, Japan, earthquake, , , , 103.0, reviewed, us, us
60861, 2003-09-27T08:06:20.190Z, 42.74, 144.254, 52.2, 5.3, mwc, 374.0, 78.5, , 0.74, us, usp000c8sk, 2022-05-02T16:44:22.701Z, 27 km SSW of Kushiro, Japan, earthquake, , , , , reviewed, us, hrv
60865, 2003-09-26T20:38:22.100Z, 41.988, 144.576, 33.0, 6.0, mwb, 538.0, 71.9, , 0.82, us, usp000c8qw, 2022-05-02T16:44:20.060Z, 110 km S of Kushiro, Japan, earthquake, , , , , reviewed, us, us
60867, 2003-09-26T06:26:57.150Z, 42.156, 144.67, 33.0, 5.9, mwc, 536.0, 115.9, , 0.84, us, usp000c8p3, 2022-05-02T16:44:18.992Z, 94 km SSE of Kushiro, Japan, earthquake, , , , , reviewed, us, hrv
60869, 2003-09-26T03:51:35.650Z, 42.083, 144.738, 33.0, 5.3, mb, 326.0, 71.8, , 0.88, us, usp000c8nr, 2014-11-07T01:19:56.961Z, 103 km SSE of Kushiro, Japan, earthquake, , , , 108.0, reviewed, us, us
60870, 2003-09-26T03:29:05.440Z, 41.649, 143.748, 33.0, 5.2, mb, 222.0, 77.2, , 0.88, us, usp000c8nk, 2022-05-02T16:44:17.923Z, 137 km SE of Shizunai-furukawach?, Japan, earthquake, , , , 96.0, reviewed, us, us
60871, 2003-09-26T02:35:13.020Z, 41.996, 144.448, 33.0, 5.6, mb, 465.0, 95.5, , 0.98, us, usp000c8ng, 2022-05-02T16:44:16.860Z, 108 km S of Kushiro, Japan, earthquake, , , , 150.0, reviewed, us, us
60874, 2003-09-25T22:24:36.600Z, 42.326, 143.612, 33.0, 5.0, mb, 119.0, 132.7, , 0.8, us, usp000c8mj, 2014-11-07T01:19:56.642Z, 73 km SSE of Obihiro, Japan, earthquake, , , , 55.0, reviewed, us, us
60875, 2003-09-25T22:20:20.540Z, 42.008, 143.766, 33.0, 5.4, mb, 278.0, 96.6, , 0.88, us, usp000c8mh, 2022-05-02T16:44:14.544Z, 111 km SSE of Obihiro, Japan, earthquake, , , , 79.0, reviewed, us, us
60876, 2003-09-25T21:08:00.030Z, 41.774, 143.593, 33.0, 7.4, mwc, 514.0, 78.8, , 1.02, us, usp000c8mb, 2022-05-02T16:44:13.332Z, 119 km ESE of Shizunai-furukawach?, Japan, earthquake, , , , , reviewed, us, hrv
60877, 2003-09-25T21:02:52.630Z, 41.807, 144.231, 33.0, 5.5, mb, 186.0, 119.7, , 1.02, us, usp000c8m9, 2014-11-07T01:19:56.493Z, 130 km S of Kushiro, Japan, earthquake, , , , 80.0, reviewed, us, us
60878, 2003-09-25T20:57:13.390Z, 41.73, 143.637, 33.0, 5.7, mb, 312.0, 114.8, , 1.01, us, usp000c8m8, 2022-05-02T16:44:12.213Z, 124 km ESE of Shizunai-furukawach?, Japan, earthquake, , , , 118.0, reviewed, us, us
60879, 2003-09-25T20:10:02.810Z, 41.836, 143.687, 33.0, 5.6, mb, 134.0, 132.0, , 1.0, us, usp000c8m0, 2022-05-02T15:53:46.395Z, 122 km ESE of Shizunai-furukawach?, Japan, earthquake, , , , 52.0, reviewed, us, us
60880, 2003-09-25T20:05:26.330Z, 41.787, 144.268, 33.0, 5.3, mb, 68.0, 134.5, , 0.91, us, usp000c8ky, 2014-11-07T01:19:56.430Z, 132 km S of Kushiro, Japan, earthquake, , , , 39.0, reviewed, us, us
60881, 2003-09-25T20:02:00.440Z, 42.343, 143.764, 33.0, 5.5, mb, 24.0, 134.2, , 1.29, us, usp000c8kw, 2020-09-18T19:37:36.652Z, 78 km SE of Obihiro, Japan, earthquake, , , , 5.0, reviewed, us, us
60882, 2003-09-25T19:50:06.360Z, 41.815, 143.91, 27.0, 8.16, mww, , , , , official, official20030925195006360_27, 2022-05-02T16:44:11.135Z, 134 km SSW of Kushiro, Japan, earthquake, , , , , reviewed, us, duputel
60885, 2003-09-24T20:56:54.670Z, 35.316, 135.194, 372.2, 5.4, mwc, 277.0, 63.4, , 0.86, us, usp000c8h8, 2016-11-09T23:33:23.784Z, 5 km WNW of Ayabe, Japan, earthquake, , , , , reviewed, us, hrv
60902, 2003-09-20T03:54:50.780Z, 34.998, 140.172, 51.5, 5.7, mwc, 375.0, 90.5, , 0.99, us, usp000c827, 2022-05-02T16:43:55.299Z, 12 km SSE of Kamogawa, Japan, earthquake, , , , , reviewed, us, hrv
60944, 2003-09-07T10:42:22.170Z, 25.518, 124.727, 123.8, 5.2, mwc, 219.0, 68.9, , 0.99, us, usp000c6zc, 2016-11-09T23:25:36.558Z, 98 km NW of Hirara, Japan, earthquake, , , , , reviewed, us, hrv
60957, 2003-09-04T07:20:48.120Z, 31.426, 140.862, 61.8, 5.0, mwc, 141.0, 100.4, , 0.79, us, usp000c6q8, 2016-11-09T23:24:10.074Z, Izu Islands, Japan region, earthquake, , 6.7, , , reviewed, us, hrv
61010, 2003-10-19T23:27:27.360Z, 43.021, 145.093, 83.9, 5.1, mwc, 136.0, 133.6, , 0.76, us, usp000caua, 2016-11-09T23:45:18.983Z, 51 km SW of Nemuro, Japan, earthquake, , 6.8, , , reviewed, us, hrv
61014, 2003-10-17T22:50:09.740Z, 41.6, 144.081, 33.0, 5.1, mwc, 186.0, 121.9, , 0.94, us, usp000cane, 2016-11-09T23:44:17.187Z, 154 km S of Kushiro, Japan, earthquake, , , , , reviewed, us, hrv
61020, 2003-10-15T07:30:35.940Z, 35.457, 139.871, 77.7, 5.2, mwc, 176.0, 47.2, , 0.85, us, usp000cae6, 2021-10-20T18:06:56.986Z, 9 km NW of Kisarazu, Japan, earthquake, , 6.3, , , reviewed, us, hrv
61025, 2003-10-14T12:39:22.030Z, 41.616, 144.165, 33.0, 5.3, mwc, 143.0, 124.0, , 0.85, us, usp000cac9, 2016-11-09T23:42:55.537Z, 151 km S of Kushiro, Japan, earthquake, , , , , reviewed, us, hrv
61033, 2003-10-11T18:26:18.600Z, 41.746, 143.683, 33.0, 5.6, mwc, 472.0, 114.8, , 0.78, us, usp000ca5u, 2022-05-02T16:50:28.613Z, 127 km ESE of Shizunai-furukawach?, Japan, earthquake, , , , , reviewed, us, hrv
61037, 2003-10-11T00:36:00.640Z, 41.85, 144.396, 33.0, 5.3, mb, 245.0, 124.0, , 0.85, us, usp000ca41, 2014-11-07T01:20:10.878Z, 124 km S of Kushiro, Japan, earthquake, , , , 82.0, reviewed, us, us
61038, 2003-10-11T00:08:49.140Z, 41.924, 144.358, 33.0, 5.8, mwb, 482.0, 94.7, , 0.9, us, usp000ca40, 2022-05-02T16:50:25.391Z, 116 km S of Kushiro, Japan, earthquake, , , , , reviewed, us, us
61039, 2003-10-10T12:58:20.170Z, 42.067, 144.747, 33.0, 5.1, mb, 185.0, 121.5, , 0.78, us, usp000ca2n, 2014-11-07T01:20:10.700Z, 105 km SSE of Kushiro, Japan, earthquake, , , , 73.0, reviewed, us, us
61048, 2003-10-09T06:52:57.440Z, 41.471, 143.508, 33.0, 5.6, mwb, 308.0, 118.5, , 0.76, us, usp000c9za, 2022-05-02T16:50:06.661Z, 134 km SE of Shizunai-furukawach?, Japan, earthquake, , , , , reviewed, us, us
61049, 2003-10-08T23:15:17.490Z, 42.21, 144.689, 33.0, 5.8, mwc, 515.0, 79.9, , 0.83, us, usp000c9yp, 2022-05-02T16:49:59.955Z, 88 km SSE of Kushiro, Japan, earthquake, , , , , reviewed, us, hrv
61050, 2003-10-08T13:32:09.520Z, 42.227, 144.72, 33.0, 5.9, mwc, 363.0, 109.9, , 0.83, us, usp000c9xs, 2022-05-02T16:49:58.438Z, 87 km SSE of Kushiro, Japan, earthquake, , , , , reviewed, us, hrv
61051, 2003-10-08T09:06:55.340Z, 42.648, 144.57, 32.0, 6.7, mwc, 556.0, 55.4, , 0.87, us, usp000c9x7, 2022-05-02T16:49:52.855Z, 39 km SSE of Kushiro, Japan, earthquake, , , , , reviewed, us, hrv
61052, 2003-10-07T17:40:52.020Z, 42.462, 144.658, 33.0, 5.2, mwc, 173.0, 122.9, , 0.88, us, usp000c9vh, 2016-11-09T23:40:02.647Z, 61 km SSE of Kushiro, Japan, earthquake, , , , , reviewed, us, hrv
61054, 2003-10-07T08:00:31.330Z, 42.273, 144.989, 33.0, 5.1, mb, 191.0, 120.0, , 0.82, us, usp000c9u7, 2014-11-07T01:20:09.297Z, 92 km SSE of Kushiro, Japan, earthquake, , , , 83.0, reviewed, us, us
61055, 2003-10-07T06:11:07.340Z, 29.153, 130.588, 33.0, 5.0, mb, 37.0, 122.2, , 1.27, us, usp000c9u1, 2014-11-07T01:20:09.284Z, 120 km S of Koshima, Japan, earthquake, , , , 9.0, reviewed, us, us
61059, 2003-10-06T19:26:15.710Z, 42.227, 144.638, 33.0, 5.5, mwc, 361.0, 120.8, , 0.91, us, usp000c9sy, 2016-11-09T23:39:30.868Z, 85 km SSE of Kushiro, Japan, earthquake, , , , , reviewed, us, hrv
61072, 2003-10-04T03:10:32.090Z, 42.197, 144.939, 33.0, 5.1, mb, 147.0, 122.3, , 1.0, us, usp000c9hm, 2014-11-07T01:20:08.160Z, 98 km SSE of Kushiro, Japan, earthquake, , , , 66.0, reviewed, us, us
61074, 2003-10-03T04:45:18.910Z, 41.874, 143.447, 33.0, 5.2, mwc, 206.0, 98.1, , 0.83, us, usp000c9ef, 2022-05-02T16:49:28.943Z, 102 km ESE of Shizunai-furukawach?, Japan, earthquake, , , , , reviewed, us, hrv
61082, 2003-10-01T23:04:53.030Z, 41.373, 143.464, 33.0, 5.3, mwc, 172.0, 132.8, , 0.88, us, usp000c9a0, 2016-11-09T23:36:53.001Z, 140 km SE of Shizunai-furukawach?, Japan, earthquake, , , , , reviewed, us, hrv
61083, 2003-10-01T16:23:29.280Z, 42.009, 144.4, 33.0, 5.4, mwc, 280.0, 120.8, , 0.8, us, usp000c99e, 2016-11-09T23:36:52.406Z, 107 km S of Kushiro, Japan, earthquake, , , , , reviewed, us, hrv
61087, 2003-10-01T01:30:24.370Z, 41.95, 144.727, 33.0, 5.1, mb, 126.0, 118.1, , 1.02, us, usp000c96v, 2014-11-07T01:20:03.803Z, 117 km SSE of Kushiro, Japan, earthquake, , , , 55.0, reviewed, us, us
61113, 2003-11-24T12:18:12.780Z, 42.346, 143.007, 33.0, 5.3, mwc, 226.0, 116.7, , 0.91, us, usp000cdte, 2022-05-02T16:54:24.255Z, 52 km E of Shizunai-furukawach?, Japan, earthquake, , , , , reviewed, us, hrv
61118, 2003-11-23T08:56:53.680Z, 37.698, 143.24, 10.0, 5.1, mb, 150.0, 92.8, , 0.86, us, usp000cdr2, 2014-11-07T01:20:32.824Z, 188 km ESE of Ishinomaki, Japan, earthquake, , , , 72.0, reviewed, us, us
61119, 2003-11-22T22:00:20.780Z, 35.434, 140.912, 38.7, 5.2, mwc, 135.0, 117.3, , 0.96, us, usp000cdpu, 2022-05-02T16:54:21.970Z, 33 km SSE of Hasaki, Japan, earthquake, , , , , reviewed, us, hrv
61128, 2003-11-20T03:17:04.020Z, 41.599, 144.088, 33.0, 5.0, mb, 129.0, 132.3, , 0.93, us, usp000cdfe, 2014-11-07T01:20:31.651Z, 154 km S of Kushiro, Japan, earthquake, , , , 69.0, reviewed, us, us
61155, 2003-11-16T07:44:48.250Z, 37.932, 142.879, 10.0, 5.1, mb, 94.0, 119.8, , 0.84, us, usp000ccyx, 2014-11-07T01:20:29.386Z, 148 km ESE of Ishinomaki, Japan, earthquake, , , , 44.0, reviewed, us, us
61163, 2003-11-14T18:43:51.140Z, 36.396, 141.072, 41.1, 5.7, mwc, 504.0, 97.4, , 0.76, us, usp000ccvq, 2022-05-02T16:53:53.676Z, 44 km ESE of Hitachi, Japan, earthquake, , , , , reviewed, us, hrv
61167, 2003-11-13T22:39:20.580Z, 41.857, 142.117, 74.4, 5.0, mwc, 222.0, 123.0, , 0.92, us, usp000cctn, 2016-11-09T23:57:01.799Z, 56 km SSW of Shizunai-furukawach?, Japan, earthquake, , , , , reviewed, us, hrv
61171, 2003-11-12T08:26:43.740Z, 33.171, 137.072, 384.9, 6.4, mwb, 559.0, 26.3, , 1.19, us, usp000ccpg, 2022-05-02T16:53:42.280Z, 118 km ESE of Shing?, Japan, earthquake, , , , , reviewed, us, us
61176, 2003-11-11T18:48:23.760Z, 22.321, 143.246, 101.0, 6.0, mwb, 291.0, 47.5, , 0.94, us, usp000ccmw, 2022-05-02T16:53:28.047Z, Volcano Islands, Japan region, earthquake, , , , , reviewed, us, us
61180, 2003-11-10T08:11:20.400Z, 37.917, 143.517, 10.0, 5.0, mb, 70.0, 120.8, , 1.01, us, usp000cchj, 2014-11-07T01:20:26.963Z, 202 km ESE of Ishinomaki, Japan, earthquake, , , , 26.0, reviewed, us, us
61185, 2003-11-09T08:25:50.940Z, 29.469, 130.601, 33.0, 5.0, mwc, 67.0, 101.5, , 1.07, us, usp000ccdz, 2016-11-09T23:55:30.657Z, 85 km S of Koshima, Japan, earthquake, , , , , reviewed, us, hrv
61188, 2003-11-08T01:57:37.230Z, 38.153, 143.235, 10.0, 5.0, mb, 93.0, 115.2, , 1.06, us, usp000ccb5, 2014-11-07T01:20:25.696Z, 166 km SE of ?funato, Japan, earthquake, , , , 45.0, reviewed, us, us
61204, 2003-11-03T20:34:06.380Z, 25.14, 127.967, 33.0, 5.2, mb, 109.0, 94.0, , 0.92, us, usp000cc02, 2014-11-07T01:20:24.131Z, 113 km SSE of Itoman, Japan, earthquake, , , , 50.0, reviewed, us, us
61206, 2003-11-03T07:11:33.950Z, 37.435, 142.313, 10.0, 5.4, mwc, 126.0, 111.2, , 0.96, us, usp000cbyx, 2016-11-09T23:52:32.681Z, 116 km E of Namie, Japan, earthquake, , , , , reviewed, us, hrv
61212, 2003-11-02T02:58:14.130Z, 37.734, 143.066, 10.0, 5.3, mwc, 232.0, 93.2, , 0.71, us, usp000cbvc, 2016-11-09T23:52:10.758Z, 172 km ESE of Ishinomaki, Japan, earthquake, , , , , reviewed, us, hrv
61214, 2003-11-01T23:44:13.530Z, 42.166, 144.293, 33.0, 5.1, mb, 152.0, 119.6, , 0.85, us, usp000cbv0, 2014-11-07T01:20:21.625Z, 90 km S of Kushiro, Japan, earthquake, , , , 74.0, reviewed, us, us
61215, 2003-11-01T13:10:07.660Z, 37.742, 143.083, 10.0, 5.9, mwb, 378.0, 36.6, , 0.91, us, usp000cbtq, 2022-05-02T16:52:53.180Z, 173 km ESE of Ishinomaki, Japan, earthquake, , , , , reviewed, us, us
61217, 2003-11-01T00:26:56.840Z, 37.793, 143.164, 10.0, 5.0, mwc, 113.0, 120.7, , 0.84, us, usp000cbs9, 2016-11-09T23:51:44.719Z, 177 km ESE of Ishinomaki, Japan, earthquake, , , , , reviewed, us, hrv
61225, 2003-12-29T01:30:54.700Z, 42.423, 144.613, 33.0, 6.1, mwc, 453.0, 114.6, , 1.02, us, usp000cgeb, 2022-05-02T16:57:54.786Z, 64 km SSE of Kushiro, Japan, earthquake, , , , , reviewed, us, hrv
61234, 2003-12-28T04:45:48.370Z, 30.015, 131.002, 31.9, 5.2, mwc, 58.0, 113.3, , 0.94, us, usp000cgbm, 2016-11-10T00:18:28.267Z, 51 km ESE of Koshima, Japan, earthquake, , , , , reviewed, us, hrv
61246, 2003-12-26T21:35:39.550Z, 42.34, 144.283, 33.0, 5.1, mb, 63.0, 134.1, , 0.93, us, usp000cg57, 2014-11-07T01:20:49.862Z, 70 km S of Kushiro, Japan, earthquake, , , , 20.0, reviewed, us, us
61264, 2003-12-23T23:54:47.670Z, 26.324, 125.884, 33.0, 5.3, mwc, 49.0, 66.8, , 1.13, us, usp000cfws, 2016-11-10T00:16:23.665Z, 178 km NNE of Hirara, Japan, earthquake, , , , , reviewed, us, hrv
61265, 2003-12-23T23:15:27.910Z, 26.317, 125.775, 36.3, 5.7, mwc, 96.0, 98.9, , 1.38, us, usp000cfwp, 2022-05-02T16:56:53.649Z, 174 km NNE of Hirara, Japan, earthquake, , 6.8, , , reviewed, us, hrv
61266, 2003-12-23T23:01:15.020Z, 26.292, 125.819, 33.0, 5.4, mwc, 60.0, 45.9, , 1.15, us, usp000cfwm, 2016-11-10T00:16:22.641Z, 172 km NNE of Hirara, Japan, earthquake, , , , , reviewed, us, hrv
61274, 2003-12-22T08:47:07.350Z, 42.279, 144.598, 37.5, 5.6, mwb, 397.0, 114.7, , 0.83, us, usp000cfsm, 2022-05-02T16:56:47.606Z, 79 km SSE of Kushiro, Japan, earthquake, , , , , reviewed, us, us
61288, 2003-12-18T21:26:36.680Z, 43.008, 146.387, 33.0, 5.0, mb, 184.0, 134.1, , 0.76, us, usp000cfh3, 2014-11-07T01:20:46.710Z, 74 km ESE of Nemuro, Japan, earthquake, , , , 88.0, reviewed, us, us
61305, 2003-12-12T01:46:13.100Z, 42.496, 142.948, 33.0, 5.2, mwc, 217.0, 119.1, , 0.87, us, usp000cf2k, 2016-11-10T00:11:08.354Z, 51 km ENE of Shizunai-furukawach?, Japan, earthquake, , , , , reviewed, us, hrv
61319, 2003-12-08T14:12:23.740Z, 27.304, 130.122, 33.0, 5.0, mb, 78.0, 97.1, , 1.1, us, usp000ceu2, 2014-11-07T01:20:42.702Z, 133 km SSE of Naze, Japan, earthquake, , , , 29.0, reviewed, us, us
61321, 2003-12-08T07:20:14.660Z, 41.16, 141.957, 66.4, 5.1, mwc, 161.0, 132.9, , 0.92, us, usp000cet5, 2016-11-10T00:09:15.857Z, Hokkaido, Japan region, earthquake, , , , , reviewed, us, hrv
61334, 2003-12-05T02:02:30.200Z, 27.318, 130.177, 33.0, 5.3, mwc, 141.0, 82.2, , 1.32, us, usp000cehu, 2016-11-10T00:07:41.394Z, 134 km SSE of Naze, Japan, earthquake, , , , , reviewed, us, hrv
61337, 2003-12-03T14:11:14.020Z, 42.36, 144.732, 33.0, 5.9, mwb, 390.0, 114.3, , 0.89, us, usp000cedx, 2022-05-02T16:55:13.365Z, 74 km SSE of Kushiro, Japan, earthquake, , , , , reviewed, us, us
61362, 2004-01-27T04:20:01.070Z, 32.571, 140.332, 79.0, 5.2, mwc, 223.0, 87.2, , 0.76, us, usp000cjs6, 2016-11-10T00:24:43.735Z, 266 km SSE of Shimoda, Japan, earthquake, , , , , reviewed, us, hrv
61375, 2004-01-23T09:01:31.290Z, 37.264, 140.993, 64.3, 5.3, mwc, 175.0, 54.1, , 0.77, us, usp000cjgh, 2016-11-10T00:24:22.521Z, 24 km S of Namie, Japan, earthquake, , , , , reviewed, us, hrv
61392, 2004-01-18T18:16:23.580Z, 42.828, 144.945, 42.4, 5.0, mwc, 160.0, 122.6, , 0.75, us, usp000cj6v, 2016-11-10T00:23:49.371Z, 49 km ESE of Kushiro, Japan, earthquake, , , , , reviewed, us, hrv
61416, 2004-01-12T20:12:14.060Z, 42.224, 143.286, 44.8, 5.0, mwc, 84.0, 133.7, , 0.65, us, usp000chs0, 2022-05-02T17:00:02.505Z, 76 km E of Shizunai-furukawach?, Japan, earthquake, , , , , reviewed, us, hrv
61443, 2004-01-06T05:50:52.450Z, 34.154, 136.671, 33.2, 5.3, mwc, 111.0, 117.8, , 0.84, us, usp000ch8q, 2022-05-02T16:59:00.909Z, 36 km S of Ise, Japan, earthquake, , , , , reviewed, us, hrv
61476, 2004-01-02T04:41:52.000Z, 42.356, 144.66, 39.2, 5.0, mwc, 181.0, 98.7, , 0.76, us, usp000cgtx, 2016-11-10T00:22:23.648Z, 72 km SSE of Kushiro, Japan, earthquake, , , , , reviewed, us, hrv
61501, 2004-02-26T04:33:09.680Z, 24.12, 123.093, 58.1, 5.3, mwb, 272.0, 80.8, , 0.81, us, usp000cnb4, 2016-11-10T00:27:08.210Z, 39 km SSE of Yonakuni, Japan, earthquake, , , , , reviewed, us, us
61527, 2004-02-17T07:46:27.260Z, 43.144, 145.816, 40.3, 5.5, mwc, 329.0, 109.1, , 0.79, us, usp000cmdd, 2022-05-02T17:03:00.014Z, 27 km SE of Nemuro, Japan, earthquake, , , , , reviewed, us, hrv
61564, 2004-02-08T10:30:19.840Z, 43.014, 145.826, 58.9, 5.0, mb, 138.0, 122.1, , 0.82, us, usp000ckqm, 2014-11-07T01:21:19.320Z, 39 km SSE of Nemuro, Japan, earthquake, , 6.2, , 51.0, reviewed, us, us
61585, 2004-02-04T06:08:26.120Z, 40.155, 141.687, 62.2, 5.2, mwc, 359.0, 114.5, , 0.75, us, usp000ckcw, 2016-11-10T00:25:17.291Z, 34 km ESE of Ichinohe, Japan, earthquake, , , , , reviewed, us, hrv
61611, 2004-03-26T16:26:38.080Z, 41.81, 144.303, 12.8, 5.0, mwc, 179.0, 112.1, , 0.76, us, usp000cqyb, 2016-11-10T00:29:58.005Z, 129 km S of Kushiro, Japan, earthquake, , 11.7, , , reviewed, us, hrv
